date,ID,T.T_TIME,T.TOTAL_DISTANCE,T.HIGH_INTENSITY_DISTANCE,T.SPRINT_DISTANCE,T_PLAYER_LOAD,count_last_week,sum_last_week,ACUTE_LOAD,count_last_fourweeks,sum_last_fourweeks,CHRONIC_LOAD,T_HEART_RATE_EXERTION,T_ACC_DEC_LOAD,T.PEAK_SPEED,T.HRE_PL_LOAD,T.VOLUME_STATUS,T.INTENSITY_STATUS,T.VOLUME_RATIO,T.INTENSITY_RATIO,T.MONOTONY_VOLUME,T.MONOTONY_INTENSITY,G.HI_IP_m,G.HI_IP_m.pc,G.HI_IP_m.min,G.HI_OP_m,G.HI_OP_m.pc,G.HI_OP_m.min,G.HID_m,G.HID_m.min,G.IP_mins,G.MINS,G.OP_mins,G.SPR_m,G.SPR_m.min,G.TD_m,G.TD_m.min,G.TD_IP_m,G.TD_IP_m.pc,G.TD_IP_m.min,G.TD_OP_m,G.TD_OP_m.pc,G.TD_OP_m.min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing
20140630,6,,,,,,,,,,,,,,,,,,,,,,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,0,6.3,3,5,12.22755514
20140701,6,,,,,,,,,,,,,,,,,,,,,,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,1,5.22,4,7,12.83839745
20140702,6,,,,,,,,,,,,,,,,,,,,,,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,2,5.94,6,7,11.41034425
20140703,6,,,,,,,,,,,,,,,,,,,,,,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,3,4.37,6,3,19.65645781
20140704,6,,,,,,,,,,,,,,,,,,,,,,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,4,5.71,9,2,12.88584844
20140705,6,,,,,,,,,,,,,,,,,,,,,,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,5,3.26,3,8,14.73640347
20140706,6,,,,,,,,,,,,,,,,,,,,,,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,6,6.05,7,6,9.265034573
20140707,6,66,6469,1099,613,681,,681,97.28571429,,,,115,226,27,1.7,10,61,100,,0.4,0.4,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,7,6.43,1,5,12.89871686
20140708,6,87,8353,964,661,828,,1509,215.5714286,,,,138,288,27,1.7,23,115,100,,0.6,0.6,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,8,6.54,9,3,10.73287991
20140709,6,,,,,,,1509,215.5714286,,,,,,,,23,115,100,,0.6,0.6,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,9,5.82,9,8,12.94622755
20140710,6,94,8647,442,290,852,,2361,337.2857143,,,,131,394,27,1.5,37,140,100,,0.8,0.7,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,10,5.43,2,2,14.99880739
20140711,6,87,8245,359,76,878,,3239,462.7142857,,,,133,291,26,1.5,50,160,100,,1.1,0.9,15.2,0.3,0.5,354.1,6.8,11.1,369.3,3.8,29,96,32,169.8,1.8,10355.4,107.9,3321.1,69.2,114.5,4539.9,87.3,141.9,0,0,11,6.2,6,1,15.84539378
