date,ID,Day,T.T_TIME,T.TOTAL_DISTANCE,T.HIGH_INTENSITY_DISTANCE,T.SPRINT_DISTANCE,T.PLAYER_LOAD,T.HEART_RATE_EXERTION,T.ACC_DEC_LOAD,T.PEAK_SPEED,T.HRE_PL_LOAD,T.VOLUME_STATUS,T.INTENSITY_STATUS,T.VOLUME_RATIO,T.INTENSITY_RATIO,T.MONOTONY_VOLUME,T.MONOTONY_INTENSITY,G.HI_IP_m,G.HI_IP_m.pc,G.HI_IP_m.min,G.HI_OP_m,G.HI_OP_m.pc,G.HI_OP_m.min,G.HID_m,G.HID_m.min,G.IP_mins,G.MINS,G.OP_mins,G.SPR_m,G.SPR_m.min,G.TD_m,G.TD_m.min,G.TD_IP_m,G.TD_IP_m.pc,G.TD_IP_m.min,G.TD_OP_m,G.TD_OP_m.pc,G.TD_OP_m.min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing
20140630,8,1,,,,,,,,,,,,,,,,29.3,0.6,1.5,163,3.1,7.4,192.2,,19,64,22,118.9,,7573.3,,2500.7,52.1,131.6,3630.2,69.8,165,0,0,0,5.44,8,4,11.37103129
20140701,8,2,,,,,,,,,,,,,,,,29.3,0.6,1.5,163,3.1,7.4,192.2,,19,64,22,118.9,,7573.3,,2500.7,52.1,131.6,3630.2,69.8,165,0,0,1,5.74,2,5,14.30495935
20140702,8,3,,,,,,,,,,,,,,,,29.3,0.6,1.5,163,3.1,7.4,192.2,,19,64,22,118.9,,7573.3,,2500.7,52.1,131.6,3630.2,69.8,165,0,0,2,6.78,1,3,13.62661537
20140703,8,4,,,,,,,,,,,,,,,,29.3,0.6,1.5,163,3.1,7.4,192.2,,19,64,22,118.9,,7573.3,,2500.7,52.1,131.6,3630.2,69.8,165,0,0,3,6.23,2,4,13.03499495
20140704,8,5,,,,,,,,,,,,,,,,29.3,0.6,1.5,163,3.1,7.4,192.2,,19,64,22,118.9,,7573.3,,2500.7,52.1,131.6,3630.2,69.8,165,0,0,4,4.93,3,8,13.71584775
20140705,8,6,,,,,,,,,,,,,,,,29.3,0.6,1.5,163,3.1,7.4,192.2,,19,64,22,118.9,,7573.3,,2500.7,52.1,131.6,3630.2,69.8,165,0,0,5,6.93,8,5,16.75388456
20140706,8,7,,,,,,,,,,,,,,,,29.3,0.6,1.5,163,3.1,7.4,192.2,,19,64,22,118.9,,7573.3,,2500.7,52.1,131.6,3630.2,69.8,165,0,0,6,6.13,4,1,14.71836668
20140707,8,8,66,6492,1044,636,877,185,286,28,2.1,10,35,100,,0.4,0.4,29.3,0.6,1.5,163,3.1,7.4,192.2,,19,64,22,118.9,,7573.3,,2500.7,52.1,131.6,3630.2,69.8,165,0,0,7,6.52,1,9,13.03677177
20140708,8,9,87,8511,1006,664,1054,274,419,28,2.6,23,69,100,,0.6,0.6,29.3,0.6,1.5,163,3.1,7.4,192.2,,19,64,22,118.9,,7573.3,,2500.7,52.1,131.6,3630.2,69.8,165,0,0,8,6,1,1,13.40085256
20140709,8,10,,,,,,,,,,23,69,100,,0.6,0.6,29.3,0.6,1.5,163,3.1,7.4,192.2,,19,64,22,118.9,,7573.3,,2500.7,52.1,131.6,3630.2,69.8,165,0,0,9,5.62,1,5,17.66069955
