date,ID,Day,T.T_TIME,T.TOTAL_DISTANCE,T.HIGH_INTENSITY_DISTANCE,T.SPRINT_DISTANCE,T.PLAYER_LOAD,T.HEART_RATE_EXERTION,T.ACC_DEC_LOAD,T.PEAK_SPEED,T.HRE_PL_LOAD,T.VOLUME_STATUS,T.INTENSITY_STATUS,T.VOLUME_RATIO,T.INTENSITY_RATIO,T.MONOTONY_VOLUME,T.MONOTONY_INTENSITY,G.HI_IP_m,G.HI_IP_m.pc,G.HI_IP_m.min,G.HI_OP_m,G.HI_OP_m.pc,G.HI_OP_m.min,G.HID_m,G.HID_m.min,G.IP_mins,G.MINS,G.OP_mins,G.SPR_m,G.SPR_m.min,G.TD_m,G.TD_m.min,G.TD_IP_m,G.TD_IP_m.pc,G.TD_IP_m.min,G.TD_OP_m,G.TD_OP_m.pc,G.TD_OP_m.min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing
20140630,7,1,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,0,6.73,9,2,10.79923337
20140701,7,2,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,1,5.89,2,2,15.20391662
20140702,7,3,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,2,7.19,2,1,14.97214388
20140703,7,4,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,3,5.95,6,2,13.4291462
20140704,7,5,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,4,5.34,8,7,11.63497591
20140705,7,6,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,5,5.53,8,9,8.916381002
20140706,7,7,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,6,5.61,7,1,12.78474761
20140707,7,8,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,7,6.38,9,3,11.20586747
20140708,7,9,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,8,5.38,3,5,14.86827565
20140709,7,10,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,9,5.03,8,8,14.78120588
20140710,7,11,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,10,6.15,4,8,14.45353359
20140711,7,12,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,11,5.56,9,3,8.722796422
20140712,7,13,,,,,,,,,,,,,,,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,12,5.4,1,2,13.58593911
